436,844
-384,432
-572,248
-136,544
-24,448
-60,548
-100,624
-96,576
-24,580
-44,604
92,612
-24,464
-116,528
-116,544
-68,544
-120,508
-180,572
-52,552
-212,440
-200,600
-2340,1392
1492,-120
84,416
144,392
8,556
36,508
60,448
-80,576
-276,608
76,524
-128,500
56,516
108,508
4,508
-144,500
4,512
140,464
32,568
-68,572
-40,536
-64,500
-72,504
56,556
-32,504
-144,484
-140,540
-80,496
-48,488
-80,516
-32,496
-168,516
-64,420
-92,564
-100,636
-348,2448
-24,640
-124,804
-960,444
176,64
-176,424
968,976
380,-180
752,1140
956,1132
-920,40
416,696
1040,-884
-88,32
-84,-180
-204,396
-116,456
24,428
-124,520
-112,464
-408,400
-820,100
1596,-1632
2808,-1652
-1896,-1212
-2732,-312
6676,-7488
-1736,-4888
624,-2924
2456,-7528
20,-9720
-8700,-76
1928,-3520
-2332,-6264
4300,-15508
760,-1748
-3080,-5576
268,2360
-1768,204
2872,-180
-5704,4524
8096,11316
11020,2160
-5288,2492
440,8572
5436,16240
-2088,9064
72,6888
908,5896
1328,1532
1852,2464
-360,2752
-228,3104
-896,1832
-992,2556
-380,1436
-96,584
-116,584
-148,540
6712,3820
-1408,1256
-9564,3272
-9580,-1208
-10528,844
-9624,2456
-3048,-1288
-6780,-1224
-5072,-660
-4644,-3216
2584,2836
-5384,896
-9356,2176
-6832,3292
-10220,-2268
4312,-408
15548,1624
12480,3124
17836,2560
11440,2892
3708,732
14836,4264
15632,-1656
12216,76
8056,-68
11224,1500
6616,3232
712,2120
-144,1044
-532,752
-132,572
-164,536
-144,528
-208,-224
-2084,8264
-6544,14280
696,11408
-13240,26128
-5984,14432
-3056,11664
-180,11588
1492,14600
8160,5976
17104,3224
-124,-1160
-6000,-1152
1472,-3980
-3480,-908
1608,-18008
1388,-10072
-8304,-12756
-9840,-15804
-4348,-5500
-3832,-6220
-476,-5020
1140,-3052
-136,-3732
-1184,-1948
136,-996
-332,-168
904,848
2388,1264
1808,112
11400,1428
8744,1856
19004,-828
16812,1524
27356,892
13100,2100
18428,872
25900,1532
9512,868
5272,-636
-4144,-476
-7960,-4220
-13276,-212
-15904,3840
-1116,356
-10128,1396
-13000,3520
-10136,2616
-9656,2440
9396,5508
-13968,1048
-12968,928
-3684,-544
-2764,-576
-4056,-1024
980,468
-424,572
456,952
232,848
400,908
-68,604
-212,596
-40,540
-136,520
0,584
-80,676
-40,524
-104,448
-76,488
-84,492
-160,472
-48,468
-88,468
-88,544
-140,460
-72,504
-64,532
-120,516
-132,484
-44,612
-92,584
-68,460
-156,560
-88,496
-24,512
-148,516
-128,468
-24,448
-144,560
-164,424
-52,592
32,484
-88,424
-16,548
-212,464
-176,444
-4,516
-44,440
-120,596
-124,456
-112,412
-140,428
-68,504
-200,576
-208,428
-124,552
-132,432
-136,504
-68,480
-56,420
-92,508
-60,472
-88,432
-164,484
-200,520
-152,600
-88,584
-44,476
-104,548
-84,440
-28,476
-64,536
-40,528
-140,428
-52,416
-108,484
32,576
-64,572
-60,572
-100,528
4844,4128
1192,1096
-3100,-1004
-344,316
-760,164
-280,472
-408,356
-72,416
-96,476
-88,416
84,496
-96,480
-44,484
-72,524
-12,604
-72,568
-128,512
-76,544
-84,508
-104,460
-112,600
-156,520
-120,568
-88,484
-68,504
-40,608
-64,444
-104,592
-128,516
-176,560
-104,432
-52,524
-112,528
-128,464
-148,572
-24,412
-44,632
-76,632